sLed,rSensor1,rSensor2,rSensor3,rSensor4,timeStamp,interval_ms
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
2,0,0,0,0,1,3650
2,0,0,0,0,25,3650
2,0,0,0,0,26,3650
2,1712,1733,0,0,31,3650
2,1901,1898,0,0,32,3650
2,4095,4095,272,3827,33,3650
2,4095,4095,293,3869,34,3650
2,4095,4095,333,4095,35,3650
2,3972,4095,147,0,36,3650
2,4095,3969,167,0,37,3650
2,3798,4095,138,0,38,3650
1,4095,4095,383,4095,40,-22650
1,2974,3568,273,2870,41,-22650
1,3030,3571,1342,3413,42,-22650
1,3157,3246,3085,3278,43,-22650
1,3109,3293,3283,3343,44,-22650
1,2914,3365,3367,3398,45,-22650
1,3250,3483,3402,3727,46,-22650
1,4095,4095,4095,4045,48,-22650
1,331,0,0,261,49,-22650
1,93,0,0,439,50,-22650
1,320,243,384,0,51,-22650
1,490,0,421,0,52,-22650
1,799,813,707,304,53,-22650
1,1744,1262,1310,1402,54,-22650
1,1837,1405,1725,1143,55,-22650
1,2084,1366,1825,1142,56,-22650
1,2159,1666,1615,1970,57,-22650
1,2452,2098,2142,2118,59,-22650
1,2159,2485,2254,2455,60,-22650
0,1461,1296,494,0,68,1400
0,1076,1127,436,0,69,1400
0,627,713,391,0,70,1400
0,555,629,353,0,71,1400
0,575,868,343,0,72,1400
3,0,0,0,0,94,1400
3,0,0,0,0,95,1400
3,0,0,0,0,96,1400
2,0,0,0,0,97,150
2,0,0,0,0,98,150
2,0,0,0,0,99,150
2,0,0,0,0,100,150
3,0,0,0,0,110,650
3,0,0,0,0,111,650
3,0,0,0,0,112,650
3,0,0,0,0,113,650
3,0,0,0,0,114,650
3,0,0,0,0,115,650
3,0,0,0,0,116,650
3,0,0,0,0,118,650
3,0,0,0,0,119,650
3,0,0,0,0,120,650
3,0,0,0,0,121,650
2,0,0,0,0,127,850
2,0,0,0,0,128,850
2,0,0,0,0,129,850
2,0,0,0,0,130,850
2,0,0,0,0,131,850
0,0,0,0,0,132,250
0,0,0,0,0,133,250
0,0,0,0,0,134,250
0,0,0,51,0,138,250
0,0,0,272,0,139,250
0,0,0,387,0,140,250
0,0,0,563,0,141,250
0,0,0,602,0,142,250
1,0,0,624,0,143,550
1,0,0,860,0,144,550
1,0,0,880,0,145,550
1,0,0,724,0,146,550
1,0,0,725,0,147,550
1,0,0,724,0,148,550
1,0,0,698,0,149,550
1,0,0,640,0,150,550
1,0,0,537,0,151,550
1,0,0,490,0,152,550
1,0,0,451,0,153,550
1,0,0,432,0,154,550
1,0,0,421,0,155,550
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
1,616,191,4095,4095,510,850
2,0,0,0,0,1,-25450
2,0,0,0,0,25,-25450
2,0,0,0,0,26,-25450
2,1712,1733,0,0,31,-25450
2,1901,1898,0,0,32,-25450
2,4095,4095,272,3827,33,-25450
2,4095,4095,293,3869,34,-25450
2,4095,4095,333,4095,35,-25450
2,3972,4095,147,0,36,-25450
2,4095,3969,167,0,37,-25450
2,3798,4095,138,0,38,-25450
1,4095,4095,383,4095,40,1950
1,2974,3568,273,2870,41,1950
1,3030,3571,1342,3413,42,1950
1,3157,3246,3085,3278,43,1950
1,3109,3293,3283,3343,44,1950
1,2914,3365,3367,3398,45,1950
1,3250,3483,3402,3727,46,1950
1,4095,4095,4095,4045,48,1950
1,331,0,0,261,49,1950
1,93,0,0,439,50,1950
1,320,243,384,0,51,1950
1,490,0,421,0,52,1950
1,799,813,707,304,53,1950
1,1744,1262,1310,1402,54,1950
1,1837,1405,1725,1143,55,1950
1,2084,1366,1825,1142,56,1950
1,2159,1666,1615,1970,57,1950
1,2452,2098,2142,2118,59,1950
1,2159,2485,2254,2455,60,1950
0,1461,1296,494,0,68,1400
0,1076,1127,436,0,69,1400
0,627,713,391,0,70,1400
0,555,629,353,0,71,1400
0,575,868,343,0,72,1400
3,0,0,0,0,94,1400
3,0,0,0,0,95,1400
3,0,0,0,0,96,1400
2,0,0,0,0,97,150
2,0,0,0,0,98,150
2,0,0,0,0,99,150
2,0,0,0,0,100,150
3,0,0,0,0,110,650
3,0,0,0,0,111,650
3,0,0,0,0,112,650
3,0,0,0,0,113,650
3,0,0,0,0,114,650
3,0,0,0,0,115,650
3,0,0,0,0,116,650
3,0,0,0,0,118,650
3,0,0,0,0,119,650
3,0,0,0,0,120,650
3,0,0,0,0,121,650
2,0,0,0,0,127,850
2,0,0,0,0,128,850
2,0,0,0,0,129,850
2,0,0,0,0,130,850
2,0,0,0,0,131,850
0,0,0,0,0,132,250
0,0,0,0,0,133,250
0,0,0,0,0,134,250
0,0,0,51,0,138,250
0,0,0,272,0,139,250
0,0,0,387,0,140,250
0,0,0,563,0,141,250
0,0,0,602,0,142,250
1,0,0,624,0,143,550
1,0,0,860,0,144,550
1,0,0,880,0,145,550
1,0,0,724,0,146,550
1,0,0,725,0,147,550
1,0,0,724,0,148,550
1,0,0,698,0,149,550
1,0,0,640,0,150,550
1,0,0,537,0,151,550
1,0,0,490,0,152,550
1,0,0,451,0,153,550
1,0,0,432,0,154,550
1,0,0,421,0,155,550
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
1,616,191,4095,4095,510,850
2,0,0,0,0,1,-25450
2,0,0,0,0,25,-25450
2,0,0,0,0,26,-25450
2,1712,1733,0,0,31,-25450
2,1901,1898,0,0,32,-25450
2,4095,4095,272,3827,33,-25450
2,4095,4095,293,3869,34,-25450
2,4095,4095,333,4095,35,-25450
2,3972,4095,147,0,36,-25450
2,4095,3969,167,0,37,-25450
2,3798,4095,138,0,38,-25450
1,4095,4095,383,4095,40,1950
1,2974,3568,273,2870,41,1950
1,3030,3571,1342,3413,42,1950
1,3157,3246,3085,3278,43,1950
1,3109,3293,3283,3343,44,1950
1,2914,3365,3367,3398,45,1950
1,3250,3483,3402,3727,46,1950
1,4095,4095,4095,4045,48,1950
1,331,0,0,261,49,1950
1,93,0,0,439,50,1950
1,320,243,384,0,51,1950
1,490,0,421,0,52,1950
1,799,813,707,304,53,1950
1,1744,1262,1310,1402,54,1950
1,1837,1405,1725,1143,55,1950
1,2084,1366,1825,1142,56,1950
1,2159,1666,1615,1970,57,1950
1,2452,2098,2142,2118,59,1950
1,2159,2485,2254,2455,60,1950
0,1461,1296,494,0,68,1400
0,1076,1127,436,0,69,1400
0,627,713,391,0,70,1400
0,555,629,353,0,71,1400
0,575,868,343,0,72,1400
3,0,0,0,0,94,1400
3,0,0,0,0,95,1400
3,0,0,0,0,96,1400
2,0,0,0,0,97,150
2,0,0,0,0,98,150
2,0,0,0,0,99,150
2,0,0,0,0,100,150
3,0,0,0,0,110,650
3,0,0,0,0,111,650
3,0,0,0,0,112,650
3,0,0,0,0,113,650
3,0,0,0,0,114,650
3,0,0,0,0,115,650
3,0,0,0,0,116,650
3,0,0,0,0,118,650
3,0,0,0,0,119,650
3,0,0,0,0,120,650
3,0,0,0,0,121,650
2,0,0,0,0,127,850
2,0,0,0,0,128,850
2,0,0,0,0,129,850
2,0,0,0,0,130,850
2,0,0,0,0,131,850
0,0,0,0,0,132,250
0,0,0,0,0,133,250
0,0,0,0,0,134,250
0,0,0,51,0,138,250
0,0,0,272,0,139,250
0,0,0,387,0,140,250
0,0,0,563,0,141,250
0,0,0,602,0,142,250
1,0,0,624,0,143,550
1,0,0,860,0,144,550
1,0,0,880,0,145,550
1,0,0,724,0,146,550
1,0,0,725,0,147,550
1,0,0,724,0,148,550
1,0,0,698,0,149,550
1,0,0,640,0,150,550
1,0,0,537,0,151,550
1,0,0,490,0,152,550
1,0,0,451,0,153,550
1,0,0,432,0,154,550
1,0,0,421,0,155,550
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
1,616,191,4095,4095,510,850
1,881,500,504,48,512,850
2,0,0,0,0,1,-25450
2,0,0,0,0,25,-25450
2,0,0,0,0,26,-25450
2,1712,1733,0,0,31,-25450
2,1901,1898,0,0,32,-25450
2,4095,4095,272,3827,33,-25450
2,4095,4095,293,3869,34,-25450
2,4095,4095,333,4095,35,-25450
2,3972,4095,147,0,36,-25450
2,4095,3969,167,0,37,-25450
2,3798,4095,138,0,38,-25450
1,4095,4095,383,4095,40,1950
1,2974,3568,273,2870,41,1950
1,3030,3571,1342,3413,42,1950
1,3157,3246,3085,3278,43,1950
1,3109,3293,3283,3343,44,1950
1,2914,3365,3367,3398,45,1950
1,3250,3483,3402,3727,46,1950
1,4095,4095,4095,4045,48,1950
1,331,0,0,261,49,1950
1,93,0,0,439,50,1950
1,320,243,384,0,51,1950
1,490,0,421,0,52,1950
1,799,813,707,304,53,1950
1,1744,1262,1310,1402,54,1950
1,1837,1405,1725,1143,55,1950
1,2084,1366,1825,1142,56,1950
1,2159,1666,1615,1970,57,1950
1,2452,2098,2142,2118,59,1950
1,2159,2485,2254,2455,60,1950
0,1461,1296,494,0,68,1400
0,1076,1127,436,0,69,1400
0,627,713,391,0,70,1400
0,555,629,353,0,71,1400
0,575,868,343,0,72,1400
3,0,0,0,0,94,1400
3,0,0,0,0,95,1400
3,0,0,0,0,96,1400
2,0,0,0,0,97,150
2,0,0,0,0,98,150
2,0,0,0,0,99,150
2,0,0,0,0,100,150
3,0,0,0,0,110,650
3,0,0,0,0,111,650
3,0,0,0,0,112,650
3,0,0,0,0,113,650
3,0,0,0,0,114,650
3,0,0,0,0,115,650
3,0,0,0,0,116,650
3,0,0,0,0,118,650
3,0,0,0,0,119,650
3,0,0,0,0,120,650
3,0,0,0,0,121,650
2,0,0,0,0,127,850
2,0,0,0,0,128,850
2,0,0,0,0,129,850
2,0,0,0,0,130,850
2,0,0,0,0,131,850
0,0,0,0,0,132,250
0,0,0,0,0,133,250
0,0,0,0,0,134,250
0,0,0,51,0,138,250
0,0,0,272,0,139,250
0,0,0,387,0,140,250
0,0,0,563,0,141,250
0,0,0,602,0,142,250
1,0,0,624,0,143,550
1,0,0,860,0,144,550
1,0,0,880,0,145,550
1,0,0,724,0,146,550
1,0,0,725,0,147,550
1,0,0,724,0,148,550
1,0,0,698,0,149,550
1,0,0,640,0,150,550
1,0,0,537,0,151,550
1,0,0,490,0,152,550
1,0,0,451,0,153,550
1,0,0,432,0,154,550
1,0,0,421,0,155,550
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
1,616,191,4095,4095,510,850
1,881,500,504,48,512,850
2,39,61,0,0,513,150
2,0,0,0,0,1,150
2,0,0,0,0,25,150
2,0,0,0,0,26,150
2,1712,1733,0,0,31,150
2,1901,1898,0,0,32,150
2,4095,4095,272,3827,33,150
2,4095,4095,293,3869,34,150
2,4095,4095,333,4095,35,150
2,3972,4095,147,0,36,150
2,4095,3969,167,0,37,150
2,3798,4095,138,0,38,150
1,4095,4095,383,4095,40,-23650
1,2974,3568,273,2870,41,-23650
1,3030,3571,1342,3413,42,-23650
1,3157,3246,3085,3278,43,-23650
1,3109,3293,3283,3343,44,-23650
1,2914,3365,3367,3398,45,-23650
1,3250,3483,3402,3727,46,-23650
1,4095,4095,4095,4045,48,-23650
1,331,0,0,261,49,-23650
1,93,0,0,439,50,-23650
1,320,243,384,0,51,-23650
1,490,0,421,0,52,-23650
1,799,813,707,304,53,-23650
1,1744,1262,1310,1402,54,-23650
1,1837,1405,1725,1143,55,-23650
1,2084,1366,1825,1142,56,-23650
1,2159,1666,1615,1970,57,-23650
1,2452,2098,2142,2118,59,-23650
1,2159,2485,2254,2455,60,-23650
0,1461,1296,494,0,68,1400
0,1076,1127,436,0,69,1400
0,627,713,391,0,70,1400
0,555,629,353,0,71,1400
0,575,868,343,0,72,1400
3,0,0,0,0,94,1400
3,0,0,0,0,95,1400
3,0,0,0,0,96,1400
2,0,0,0,0,97,150
2,0,0,0,0,98,150
2,0,0,0,0,99,150
2,0,0,0,0,100,150
3,0,0,0,0,110,650
3,0,0,0,0,111,650
3,0,0,0,0,112,650
3,0,0,0,0,113,650
3,0,0,0,0,114,650
3,0,0,0,0,115,650
3,0,0,0,0,116,650
3,0,0,0,0,118,650
3,0,0,0,0,119,650
3,0,0,0,0,120,650
3,0,0,0,0,121,650
2,0,0,0,0,127,850
2,0,0,0,0,128,850
2,0,0,0,0,129,850
2,0,0,0,0,130,850
2,0,0,0,0,131,850
0,0,0,0,0,132,250
0,0,0,0,0,133,250
0,0,0,0,0,134,250
0,0,0,51,0,138,250
0,0,0,272,0,139,250
0,0,0,387,0,140,250
0,0,0,563,0,141,250
0,0,0,602,0,142,250
1,0,0,624,0,143,550
1,0,0,860,0,144,550
1,0,0,880,0,145,550
1,0,0,724,0,146,550
1,0,0,725,0,147,550
1,0,0,724,0,148,550
1,0,0,698,0,149,550
1,0,0,640,0,150,550
1,0,0,537,0,151,550
1,0,0,490,0,152,550
1,0,0,451,0,153,550
1,0,0,432,0,154,550
1,0,0,421,0,155,550
1,0,0,530,0,156,550
1,0,0,410,0,157,550
1,0,0,130,0,158,550
1,0,0,539,0,159,550
1,0,0,875,0,161,550
1,0,0,916,0,162,550
1,0,0,858,0,163,550
1,0,0,912,0,164,550
3,0,0,895,0,165,1100
3,0,0,1253,0,166,1100
3,0,0,1251,0,167,1100
3,0,0,1257,0,168,1100
3,0,0,1250,0,169,1100
3,0,0,1065,0,170,1100
3,0,0,967,0,171,1100
3,0,0,983,0,172,1100
3,0,0,976,0,173,1100
3,0,0,1005,0,174,1100
3,0,0,1007,0,175,1100
3,0,0,1032,0,176,1100
3,0,0,1023,0,177,1100
2,0,0,1038,0,178,650
2,0,0,717,0,179,650
2,0,0,944,0,180,650
2,0,0,1006,0,181,650
2,0,0,995,0,182,650
2,0,0,1005,0,183,650
2,0,0,1008,0,184,650
2,0,0,1017,0,186,650
2,0,0,1021,0,187,650
2,0,0,1033,0,188,650
2,0,0,1037,0,189,650
3,0,0,723,0,190,650
3,0,0,1042,0,194,650
3,0,0,960,0,197,650
3,0,0,1122,85,201,650
3,0,0,1079,118,202,650
3,0,0,1123,0,203,650
3,0,0,1126,92,204,650
3,0,0,1111,93,205,650
3,0,0,1111,112,206,650
3,0,0,1098,0,207,650
3,0,0,1122,0,208,650
2,0,0,1089,0,209,950
2,0,0,815,0,210,950
2,0,0,801,0,211,950
2,0,0,803,2,212,950
2,0,0,794,0,213,950
2,0,0,814,0,214,950
2,0,0,464,0,218,950
2,0,0,427,0,219,950
0,0,0,0,0,349,7000
3,0,0,0,0,367,900
3,286,358,112,0,368,900
0,222,285,92,0,391,1200
0,245,336,118,0,392,1200
0,255,319,122,0,393,1200
0,237,307,114,0,394,1200
0,240,310,115,0,395,1200
0,240,309,112,0,396,1200
0,231,313,108,0,397,1200
0,229,288,108,0,398,1200
0,227,282,101,0,399,1200
2,0,0,0,0,404,650
0,0,0,0,0,420,800
0,76,80,5,0,492,800
2,82,96,16,0,493,3650
2,0,0,0,0,495,3650
1,616,191,4095,4095,510,850
1,881,500,504,48,512,850
2,39,61,0,0,513,150
2,62,86,16,0,514,150
2,0,0,0,0,1,150
2,0,0,0,0,25,150
2,0,0,0,0,26,150
2,1712,1733,0,0,31,150
2,1901,1898,0,0,32,150
2,4095,4095,272,3827,33,150
